TOTAL,F,MED_E,EUR,SI	13030 	12510 	12128 	12148 	11762 	11667 	11891 	11798 	11559 	11660 	10678 	9707 	9144 	8662 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,SK	: 	7104 	6901 	6750 	6660 	6630 	6759 	6236 	6009 	5518 	4657 	3862 	3252 	2764 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,TR	: 	3808 	3703 	3372 	3455 	3409 	3181 	3289 	2721 	3011 	2860 	2656 	2328 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,UK	: 	20514 b	20706 	20529 	20069 	18222 	18742 b	16728 	16709 	15944 	18475 	20480 	18918 	17936 b	: 	: 	17077 	14926 	13374 	13014 	10510 	9894 	10007 
TOTAL,F,MED_E,NAC,AT	24675 	24433 	23202 	22741 	22712 	21629 	21183 	20949 	20566 	20030 	18838 b	17787 	17480 	17402 	16603 	15275 b	14667 	14535 	13983 	13740 	13513 	13678 	13179 
TOTAL,F,MED_E,NAC,BE	23195 	22005 	21526 	21012 	21189 	20878 	19688 	19380 	18963 	18851 	17592 	17150 	16692 	16081 	15353 	14994 b	15081 	14378 	13981 	13734 	13353 	13127 	12863 
TOTAL,F,MED_E,NAC,BG	6794 	6806 	5952 b	6329 	6375 	5593 	5428 	5504 	5720 	5401 	4167 	2815 	2661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,CH	46973 	46486 	46017 	46593 	45893 b	47951 	47031 	45427 	44968 	44452 	42897 	42640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,CY	15199 	14180 	13854 	13618 	14186 	15437 	16502 	16580 	15839 	16005 	9134 b	9095 	8202 	7580 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,CZ	231718 	219133 	207978 	198337 	192746 	188437 	186421 	183912 	182406 	177475 	163603 	150365 	139791 	132337 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,DE	22081 	21316 	20744 	20238 	19319 	19067 	19137 	18700 	18448 	18219 	17909 	17367 	15403 	16117 b	: 	: 	15441 	15086 	14522 	14194 	14061 	13568 	12894 
TOTAL,F,MED_E,NAC,DK	220266 	217772 	208402 	206913 	204341 	200863 	198768 	197047 b	186713 	183029 	175546 	170521 	164546 	160167 	153999 	151509 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EA	18794 e	: 	17751.2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EA18	18902 e	: 	17864.2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EA19	18794 e	: 	17751.2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EE	10171 	9089 	8321 	7646 	6929 b	6339 	5707 	5415 	5563 	5960 	5324 	4252 	3471 	2876 	2482 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EL	7781 	7543 	7422 	7480 	7638 	8074 	9368 	10760 	11690 	11274 	10688 	9938 	9636 	9226 	8650 	8073 b	6974 	6629 	6164 	5788 	5261 	4833 	4365 
TOTAL,F,MED_E,NAC,ES	14492 	13948 	13490 	13249 	13091 	13444 	13695 	13699 	14450 	14355 	13623 b	11304 	10806 	10110 	10092 b	: 	8728 	8043 	7410 	6730 	6283 	6058 	5824 
TOTAL,F,MED_E,NAC,EU	62064 e	: 	56475.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EU27	62173 e	: 	56600.8 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EU28	62064 e	: 	56475.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,FI	24012 	23606 	23225 	23375 	23150 	22791 	22196 	21336 	20854 	20334 	19180 	18096 	17911 	17071 	16310 b	: 	14521 	13918 	13286 	12912 	12233 	12001 	: 
TOTAL,F,MED_E,NAC,FR	21975 	21757 	21416 	21137 	20875 	20619 	20292 	19683 	19597 	19287 	18663 b	16151 	15895 	15656 	14960 b	: 	14628 	13986 	13716 	13518 	13109 	12898 	12537 
TOTAL,F,MED_E,NAC,HR	48850 	45714 	42400 	40833 	38425 	37470 	39450 	39924 	42010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,HU	1645762 	1520100 	1463757 	1396585 	1321020 	1270600 	1286727 	1216667 	1175838 	1178463 	1092000 	1031422 	943790 	860002 	: 	: 	: 	: 	: 	: 	: 	: 	: 
